base_url,city,citycountry,cloudiness,country,humidity,lat,lng,temp,wind speed
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=cabo san lucas,mx&APPID=658432372d775e19d42e7c70280b22af",cabo san lucas,cabo san lucasmx,5,mx,21,15,-114,33.0,1.5
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=hofn,is&APPID=658432372d775e19d42e7c70280b22af",hofn,hofnis,90,is,87,60,-14,10.0,2.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=itoman,jp&APPID=658432372d775e19d42e7c70280b22af",itoman,itomanjp,1,jp,83,24,128,27.0,5.1
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=kapaa,us&APPID=658432372d775e19d42e7c70280b22af",kapaa,kapaaus,90,us,94,37,-162,24.0,9.8
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=arraial do cabo,br&APPID=658432372d775e19d42e7c70280b22af",arraial do cabo,arraial do cabobr,75,br,78,-26,-37,24.0,1.5
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=tuktoyaktuk,ca&APPID=658432372d775e19d42e7c70280b22af",tuktoyaktuk,tuktoyaktukca,40,ca,80,83,-122,1.0,8.2
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=chuy,uy&APPID=658432372d775e19d42e7c70280b22af",chuy,chuyuy,36,uy,74,-65,-23,21.29,6.01
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=rikitea,pf&APPID=658432372d775e19d42e7c70280b22af",rikitea,rikiteapf,20,pf,100,-36,-138,23.64,3.76
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=kodiak,us&APPID=658432372d775e19d42e7c70280b22af",kodiak,kodiakus,1,us,78,47,-151,22.0,2.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=dikson,ru&APPID=658432372d775e19d42e7c70280b22af",dikson,diksonru,56,ru,99,84,88,-1.61,1.96
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=vao,nc&APPID=658432372d775e19d42e7c70280b22af",vao,vaonc,48,nc,100,-29,167,22.29,4.81
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=carnarvon,au&APPID=658432372d775e19d42e7c70280b22af",carnarvon,carnarvonau,0,au,95,-30,98,20.29,1.51
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=hithadhoo,mv&APPID=658432372d775e19d42e7c70280b22af",hithadhoo,hithadhoomv,24,mv,100,-21,83,28.39,6.01
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=busselton,au&APPID=658432372d775e19d42e7c70280b22af",busselton,busseltonau,24,au,100,-35,100,18.19,7.16
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=bluff,nz&APPID=658432372d775e19d42e7c70280b22af",bluff,bluffnz,8,nz,100,-69,156,6.29,2.81
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=jumla,np&APPID=658432372d775e19d42e7c70280b22af",jumla,jumlanp,24,np,90,31,83,2.29,1.16
